day,start_time,end_time,type,subject_id,division,batch,faculty_id
Saturday,11:30 AM,1:30 PM,practical,DJ19ITC701,I2,1,e3c144c4-ab4f-4f5b-97d7-5ae4aa1a0dab
Thursday,8:00 AM,10:00 AM,practical,DJS22ITC303,I2,2,e3c144c4-ab4f-4f5b-97d7-5ae4aa1a0dab
Friday,12:00 PM,2:00 PM,practical,DJS22ITC303,I2,1,e3c144c4-ab4f-4f5b-97d7-5ae4aa1a0dab
Monday,10:00 AM,11:00 AM,theory,DJ19ITC702,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb404
Wednesday,10:30 AM,11:30 AM,theory,DJ19ITC702,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb404
Saturday,3:00 PM,4:00 PM,theory,DJ19ITC702,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb404
Monday,12:30 PM,2:30 PM,practical,DJ19ITC702,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb404
Wednesday,8:00 AM,10:00 AM,practical,DJ19ITC702,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb404
Tuesday,11:30 AM,1:30 PM,practical,DJS22ITC307,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb404
Tuesday,12:30 PM,1:30 PM,theory,DJS22ITC302,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb412
Thursday,1:30 PM,2:30 PM,theory,DJS22ITC302,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb412
Saturday,11:30 AM,12:30 PM,theory,DJS22ITC302,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb412
Tuesday,3:00 PM,4:00 PM,practical,DJS22ITC302,I3,1,664a0d49-edf6-4715-950d-1a8dd01fb412
Saturday,12:30 PM,1:30 PM,practical,DJS22ITC302,I3,2,664a0d49-edf6-4715-950d-1a8dd01fb412
Monday,11:00 AM,12:00 PM,theory,DJ19ITC702,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Wednesday,10:00 AM,11:00 AM,theory,DJ19ITC702,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Saturday,2:30 PM,3:30 PM,theory,DJ19ITC702,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Saturday,12:30 PM,2:30 PM,practical,DJ19ITC702,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb403
Tuesday,1:30 PM,2:30 PM,theory,DJ19ITC503,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Tuesday,8:00 AM,10:00 AM,practical,DJ19ITC503,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb403
Thursday,8:00 AM,10:00 AM,practical,DJ19ITC503,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb403
Thursday,1:30 PM,2:30 PM,theory,DJ19ITC503,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Friday,1:30 PM,2:30 PM,theory,DJ19ITC503,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb403
Thursday,12:30 PM,1:30 PM,theory,DJ19ITC502,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,10:00 AM,11:00 AM,theory,DJ19ITC502,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Saturday,1:30 PM,2:30 PM,theory,DJ19ITC502,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,12:30 PM,2:30 PM,practical,DJ19ITC502,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,10:00 AM,12:00 PM,practical,DJ19ITC502,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb406
Monday,3:00 PM,5:00 PM,practical,DJS22ITC302,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb406
Tuesday,11:30 AM,12:30 PM,theory,DJS22ITC302,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Thursday,10:00 AM,12:00 PM,practical,DJS22ITC302,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb406
Friday,2:00 PM,3:00 PM,theory,DJS22ITC302,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Saturday,10:00 AM,11:00 AM,theory,DJS22ITC302,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb406
Monday,12:30 PM,1:30 PM,theory,DJ19ITC502,I1,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,11:30 AM,12:30 PM,theory,DJ19ITC502,I1,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Saturday,1:30 PM,2:30 PM,theory,DJ19ITC502,I1,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Monday,8:00 AM,10:00 AM,practical,DJ19ITC502,I1,2,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,1:30 PM,3:30 PM,practical,DJ19ITC502,I1,1,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,9:00 AM,10:00 AM,theory,DJS22ITC305,I2,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Wednesday,12:00 PM,1:00 PM,theory,DJS22ITC305,I2,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Thursday,12:30 PM,2:30 PM,practical,DJS22ITC305,I2,1,8065a250-0d80-49fd-9452-7cb70e6b47ad
Friday,10:00 AM,11:00 AM,theory,DJS22ITC305,I2,0,8065a250-0d80-49fd-9452-7cb70e6b47ad
Friday,12:00 PM,2:00 PM,practical,DJS22ITC305,I2,2,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,2:30 PM,3:30 PM,theory,DJ19ITEC5013,I2,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Saturday,11:30 AM,12:30 PM,theory,DJ19ITEC5013,I2,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Wednesday,12:30 PM,2:30 PM,practical,DJ19ITEC5013,I2,1,566cd371-76b8-4b67-997d-d6ffe8781be4
Thursday,8:00 AM,10:00 AM,practical,DJ19ITEC5013,I2,2,566cd371-76b8-4b67-997d-d6ffe8781be4
Monday,1:30 PM,2:30 PM,theory,DJS22ITC303,I2,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Tuesday,8:00 AM,9:00 AM,theory,DJS22ITC303,I2,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Wednesday,9:00 AM,10:00 AM,theory,DJS22ITC303,I2,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Monday,12:00 PM,1:00 PM,theory,DJS22ITC303,I3,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Tuesday,11:30 PM,12:30 PM,theory,DJS22ITC303,I3,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Thursday,10:00 AM, 12:00 PM,practical,DJS22ITC303,I3,2,566cd371-76b8-4b67-997d-d6ffe8781be4
Friday,10:00 AM, 12:00 PM,practical,DJS22ITC303,I3,1,566cd371-76b8-4b67-997d-d6ffe8781be4
Friday,12:30 PM,1:30 PM,theory,DJS22ITC303,I3,0,566cd371-76b8-4b67-997d-d6ffe8781be4
Friday,8:00 AM,10:00 AM,practical,DJS22ITC306,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb421
Saturday,1:30 PM,3:30 PM,practical,DJS22ITC306,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb421
Thursday,11:00 AM,12:00 PM,theory,DJ19ITC504,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Friday,12:30 PM,1:30 PM,theory,DJ19ITC504,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Saturday,12:30 PM,1:30 PM,theory,DJ19ITC504,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Monday,1:30 PM,2:30 PM,theory,DJ19ITEC5013,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Tuesday,12:30 PM,1:30 PM,theory,DJ19ITEC5013,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Wednesday,2:30 PM,3:30 PM,theory,DJ19ITEC5013,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb405
Monday,8:00 AM,10:00 AM,practical,DJ19ITEC5013,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Wednesday,10:00 AM,12:00 PM,practical,DJ19ITC504,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Tuesday,10:00 AM,12:00 PM,practical,DJ19ITC504,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC504,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb405
Friday,12:30 PM,2:30 PM,practical,DJ19ITC501,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb413
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC501,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb413
Tuesday,12:30 PM,1:30 PM,theory,DJ19ITC501,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Thursday,2:30 PM,3:30 PM,theory,DJ19ITC501,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Saturday,10:00 AM,11:00 AM,theory,DJ19ITC501,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Saturday,12:30 PM,2:30 PM,practical,DJ19ITEC5013,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb408
Friday,10:00 AM,12:00 PM,practical,DJ19ITC501,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb408
Monday,10:00 AM,12:00 PM,practical,DJS22ITC302,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb408
Tuesday,10:00 AM,11:00 AM,theory,DJS22ITC302,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Wednesday,10:00 AM,12:00 PM,practical,DJS22ITC302,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb408
Thursday,10:00 AM,11:00 AM,theory,DJS22ITC302,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Friday,8:00 AM,9:00 AM,theory,DJS22ITC302,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb408
Tuesday,10:00 AM,11:00 AM,theory,DJ19ITC501,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb407
Friday,11:30 AM,12:30 PM,theory,DJ19ITC501,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb407
Saturday,10:00 AM,11:00 AM,theory,DJ19ITC501,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb407
Tuesday,1:30 PM,3:30 PM,practical,DJ19ITC501,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb407
Tuesday,11:30 AM,1:30 PM,practical,DJS22ITC306,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb407
Thursday,8:00 AM,10:00 AM,practical,DJS22ITC306,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb407
Monday,2:30 PM,3:30 PM,theory,DJ19ITC505,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb409
Thursday,10:00 AM,11:00 AM,theory,DJ19ITC505,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb409
Friday,2:30 PM,3:30 PM,theory,DJ19ITC505,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb409
Saturday,12:30 PM,1:30 PM,theory,DJ19ITC505,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb409
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC505,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb409
Tuesday,8:00 AM,10:00 AM,practical,DJ19ITC505,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb409
Tuesday,10:00 AM,12:00 PM,practical,DJ19ITC505,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb409
Wednesday,8:00 AM,10:00 AM,practical,DJ19ITC701,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb411
Saturday,11:30 AM,1:30 PM,practical,DJ19ITC702,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb411
Saturday,11:30 AM,1:30 PM,practical,DJ19ITC702,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb411
Friday,8:00 AM,10:00 AM,practical,DJS22ITC307,I3,1,664a0d49-edf6-4715-950d-1a8dd01fb411
Monday,10:00 AM,12:00 PM,practical,DJS22ITC307,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb411
Monday,11:30 AM,12:30 PM,theory,DJ19ITC504,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Wednesday,12:30 PM,1:30 PM,theory,DJ19ITC504,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,11:30 AM,12:30 PM,theory,DJ19ITC504,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC504,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,12:30 PM,2:30 PM,practical,DJ19ITC701,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb410
Tuesday,10:30 AM,11:00 AM,theory,DJS22ITC305,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Thursday,12:00 PM,2:00 PM,practical,DJS22ITC305,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb410
Thursday,3:30 PM,4:30 PM,theory,DJS22ITC305,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Friday,8:00 AM,10:00 AM,practical,DJS22ITC305,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb410
Friday,1:00 PM,2:00 PM,theory,DJS22ITC305,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb410
Monday,10:00 AM,11:00 AM,theory,DJ19ITC503,I1,0,b664ad75-3773-406e-8221-d0a933a52c4f
Tuesday,8:00 AM,10:00 AM,practical,DJ19ITC503,I1,1,b664ad75-3773-406e-8221-d0a933a52c4f
Wednesday,10:00 AM,12:00 PM,practical,DJ19ITC503,I1,2,b664ad75-3773-406e-8221-d0a933a52c4f
Wednesday,1:30 PM,2:30 PM,theory,DJ19ITC503,I1,0,b664ad75-3773-406e-8221-d0a933a52c4f
Friday,10:00 AM,11:00 AM,theory,DJ19ITC503,I1,1,b664ad75-3773-406e-8221-d0a933a52c4f
Wednesday,11:00 AM,12:00 PM,theory,DJ19ITEC5013,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb412
